Island,DnaAdmixture
Alor,1.0
Bali,1.0
Born,1.0
Chin,1.0
Flor,1.0
Halm,1.0
Java,1.0
Mala,1.0
Papu,0.0
Phil,1.0
Sula,1.0
Suma,1.0
Sumb,1.0
Taiw,1.0
Timo,1.0
Viet,1.0

