Island,DnaAdmixture
Alor,0.49
Bali,0.01
Born,0
Chin,0
Flor,0.34
Halm,0.33
Java,0
Mala,0
Papu,0.86
Phil,0
Sula,0.03
Suma,0
Sumb,0.19
Taiw,0
Timo,0.36
Viet,0

