code,order
Laos,-1
Thai,-1
Mala,0
Suma,0.0276186245533296
Viet,0.120752644906845
Chin,0.184152606428002
Java,0.202543678211179
Born,0.293892156257221
Bali,0.338678020535865
Taiw,0.440554605725121
Phil,0.463237464075063
Sumb,0.463759811827058
Sula,0.473186535328206
Flor,0.497964979642729
Alor,0.584382718563241
Timo,0.590405399573502
Halm,0.652237094095746
Papu,1
Sera,2
Tani,2
Aru,2
